Good?,Improvement Notes,Title,Description,Estimated Time,Difficulty,Completion Criteria,Category
Excellent,,Wear Shoes on Wrong Feet for Entire Day,Wear your left shoe on your right foot and vice versa for an entire waking day,1 day,Easy,Full day completed without switching them back,Absurd
Excellent,,Meet Someone with Fake Identity,"Meet a stranger and maintain a completely fake identity and backstory for at least 10 minutes (bonus for accent, longer duration)",10+ min,Medium,"Conversation lasted 10+ min, they believed your fake identity",Absurd
Excellent,,Get Autograph from Famous Person,Obtain an autograph from someone famous enough to have a Wikipedia page,Variable,Hard,Autograph obtained from person with Wikipedia page,Achievement
Excellent,,Attempt a Guinness World Record,Make an official or documented attempt at any Guinness World Record,Variable,Hard,Good faith attempt documented (bonus points for actually achieving it),Achievement
Excellent,,Get Best Free Item from Classifieds,Find and claim the best free item you can from Craigslist/Facebook Marketplace/local classifieds,Variable,Easy,Free item obtained and photographed. Best item chosen by group vote.,Achievement
Excellent,,Run a Marathon,Train for and complete a full 26.2 mile marathon,3-6 months training,Hard,Finish time documented,Physical
Excellent,,Gain or Lose 10 Pounds,Reach a weight goal of gaining or losing 10 pounds (whichever aligns with your health goals),2-3 months,Medium,Before and after weight documented,Physical
Excellent,,Bike 100 Miles in One Day,Complete a 100-mile bike ride in a single day,1 day,Hard,Route tracked showing 100+ miles,Physical
Excellent,,Learn to Handstand,Learn to hold a freestanding handstand,1-3 months,Hard,Video of handstand held for 10+ seconds without wall support,Physical
Excellent,,Don't Shower for 5 Days,Go 5 consecutive days without showering or bathing,5 days,Medium,5 days completed,Absurd
Excellent,,Do a kickflip,Learn to ride a skateboard and perform a kickflip,1-2 months,Medium,Video of doing a kickflip,Physical
Excellent,,Bake Bread from Scratch,Make a loaf of bread completely from scratch (no bread machine),3-4 hours,Easy,Edible loaf produced with photo,Creative
Excellent,,Draw a Self-Portrait,Create a self-portrait drawing or painting,2-4 hours,Easy,Completed self-portrait,Creative
Excellent,,Paint Something and Display It,Create a painting and display it proudly somewhere in your home,Variable,Easy,Painting created and hung/displayed,Creative
Excellent,,Take a Themed Photography Series,Take a series of at least 10 photos around a specific theme,Variable,Easy,10+ photos with cohesive theme,Creative
Excellent,Should note how to do this legally,Make Wholesome Graffiti,Create positive/uplifting street art or chalk art in a public space,1-2 hours,Easy,Photo of your wholesome public art,Creative
Excellent,,Write a Poem,Write an original poem of at least 12 lines,1-2 hours,Easy,Poem written and shared with at least one person,Creative
Excellent,,Write a Joke,Write an original joke and tell it to at least 5 people,Variable,Easy,Joke written and delivered to 5+ people. Someone has to laugh.,Creative
Excellent,,Learn 3 Magic Tricks,Learn three different magic tricks well enough to perform them,2-4 weeks,Easy,Perform all 3 tricks for someone without them figuring them out,Achievement
Excellent,,Take a Dance Class,Attend and complete a dance class in any style,1-2 hours,Easy,Class completed,Physical
Excellent,,Have Conversation with Oldest Living Relative,Have a meaningful conversation with your oldest living relative about their life,1-2 hours,Easy,Conversation happened and you learned something new about them,Social
Excellent,,Take Your Boss to Lunch,Invite your boss to lunch and pay for it,1-2 hours,Medium,Lunch happened and you paid,Social
Excellent,,Ask Acquaintance for $100,Ask someone you know casually (not close friend/family) if you can have $100,5 min,Hard,The ask happened (outcome doesn't matter),Social
Excellent,,Ask Someone for Clothing Item They're Wearing,Notice something someone is wearing that you like and ask them to give it to you,5 min,Hard,The ask happened (getting it is bonus),Absurd
Excellent,,Organize a Group Hike,Plan and lead a hike with 4+ people,4-6 hours,Easy,Hike completed with 4+ participants,Social
Excellent,,Go to a Protest or Rally,Attend a protest or rally for a political cause you care about,2-4 hours,Easy,Attended and participated,Achievement
Excellent,,Speak in Accent for Entire Day,Maintain a fake accent for an entire day in all interactions,1 day,Medium,Full day completed without breaking character,Absurd
Excellent,,Wear Costume in Public on Non-Halloween Day,Wear a full costume in public on a regular day (not Halloween or costume event),1 day,Medium,Wore costume for significant public outing,Absurd
Excellent,,Collect Hair from 10 People,Collect a piece of hair from 10 different people (with their knowledge),Variable,Medium,10 hair samples collected with consent,Absurd
Excellent,,Buy Food from One Restaurant Eat in Another,Purchase food from one restaurant and eat it inside a different restaurant,1-2 hours,Medium,Completed without getting kicked out,Absurd
Excellent,,Visit 10 Coffee Shops in Your City,Visit and order from 10 different coffee shops in your city,Variable,Easy,10 shops visited with photos/receipts,Achievement
Excellent,,Get Photo from Highest and Lowest Points in City,"Take photos at both the highest and lowest elevation points in your city, including buildings and basements",Variable,Easy,Both photos taken with location proof,Achievement
Excellent,,Sneak Into an Event,Get into an event you weren't invited to or don't have a ticket for,Variable,Hard,Successfully attended event you shouldn't have been at,Achievement
Excellent,We are not liable,Commit a Very Small Crime,Break an outdated or obscure law that's technically illegal but harmless,Variable,Easy,Document which weird law you broke,Absurd
Excellent,,Beat a Video Game You've Never Played,Complete a video game from start to finish that you've never played before,Variable,Easy,Game completed with screenshot of ending,Achievement
Excellent,,Get a Wildly Different Hairstyle,Get a dramatically different haircut or style than you normally have,1-2 hours,Easy,Before and after photos,Achievement
Excellent,,Get a Tattoo,Get a tattoo (any size),1-2 hours,Hard,Tattoo completed,Achievement
Excellent,,Give a tattoo,Give someone a tattoo (any size),1-2 hours,,Tattoo completed,Achievement
Excellent,,Buy Only Unfamiliar Groceries,Buy a week's worth of groceries where nothing is something you've ever eaten before,1 week,Medium,Receipt showing unfamiliar items + photos of eating them,Achievement
Excellent,,Get Pushed Around in a Wheelbarrow,Get pushed around in a wheelbarrow in public for at least 10 minutes,10+ min,Easy,Photo/video evidence of wheelbarrow ride,Absurd
Excellent,,Do a Street Performance,Perform publicly on a street (music/magic/art/dance) until you make money,,Medium,Performance completed with photo/video,Creative
Excellent,,See and Document 20 Bird Species,Observe and photograph/document 20 different bird species,Variable,Medium,20 species documented with photos or detailed notes,Achievement
Excellent,,Learn to Swim,Learn to swim if you can't already (complete a lap without stopping),Variable,Medium,Swim one full pool length without stopping,Physical
Excellent,,Appear in Video from 100k+ Follower Account,"Appear in a YouTube/Instagram/TikTok video from an account with 100k+ followers, or live TV",Variable,Hard,Link to video showing you on major account,Achievement
Excellent,,Hitchhike Somewhere,Travel somewhere by hitchhiking with a buddy,Variable,Hard,Reached destination via hitchhiking,Achievement
