Title,Description,Estimated Time,Difficulty,Completion Criteria,Category
The Skill You've Been Postponing,"Learn one skill you've been meaning to develop for years (instrument, language, craft)",3-6 months,Hard,"Defined basic competency, reached that level",Achievement
Find a Mentor,Approach someone whose path you admire and ask for mentorship,Varies,Medium,"Person identified, ask made, at least 1 meeting happened",Social
Teach Something,Teach something you know to someone else,Varies,Easy,"Teaching session completed, learner could demonstrate what you taught",Social
Apply Anyway,"Apply for an opportunity you think you're not ready for (job, grant, program)",2-3 hours,Medium,Application submitted (rejection doesn't matter),Achievement
Start the Thing,Start the project you've been planning for years and set a deadline for first draft/prototype,Varies,Hard,"Deadline set, first draft/prototype completed by deadline",Achievement
The Relationship Conversation,Have the difficult conversation about your relationship that you've been avoiding,1-2 hours,Hard,"Issue identified in writing beforehand, conversation happened",Social
Make the Decision,"Make a decision you've been postponing (the move, career change, ending, or beginning)",Varies,Hard,"Decision made, first action taken toward implementing it",Achievement
Do Something That Scares You,"Do something that scares you that isn't actually dangerous (public speaking, asking someone out, traveling solo)",Varies,Medium,"Scary thing identified beforehand, scary thing done",Achievement
Share Your Creative Work,"Share creative work with an audience (publish writing, show art, perform music, post online)",Varies,Medium,"Work shared publicly, at least 1 person outside inner circle saw it",Creative
The Forgiveness Letter,Write a letter to someone you're holding resentment toward (you don't have to send it),1 hour,Medium,"Letter written, consciously chose to release resentment",Achievement
The Old Apology,Apologize for something you did years ago with a genuine apology that asks nothing in return,30 min,Medium,"Apology delivered, asked for nothing in return",Social
Say I Love You,Tell a family member I love you if you rarely do,5 min,Easy,Said it explicitly,Social
Express Suppressed Emotion,"Express anger or disappointment you've been suppressing (to therapist, trusted friend, or person directly)",Varies,Medium,"Emotion identified, expressed to someone",Social
Write Your Eulogy,Describe the person you want to be remembered as and note gaps between that vision and your current life,1-2 hours,Medium,"Eulogy written, gaps listed",Achievement
The Death Conversation,"Have a conversation about death with someone you love (wishes, fears, what you'd want each other to know)",1-2 hours,Hard,"Conversation happened, both people shared something meaningful",Social
Three Denied Things,"Identify three things you've denied yourself for no good reason, then do/get/allow one of them",30 min+,Easy,"3 things listed, 1 done/obtained/allowed",Achievement
Eliminate Chronic Unhappiness,"Remove or significantly reduce one source of chronic unhappiness (relationship, habit, commitment, environment)",Varies,Hard,"Source identified, concrete action taken to eliminate/reduce it",Achievement
Schedule Unproductive Joy,Block weekly time for activities with no purpose beyond enjoyment and protect it for 4 consecutive weeks,4 weeks,Medium,"Time blocked, 4 weeks completed",Achievement
Deliberate Silliness,Do something intentionally silly or ridiculous and laugh properly,Varies,Easy,"Silly thing done, you laughed for real",Absurd
Say No,Decline an invitation or obligation that doesn't align with what matters to you,As it arises,Easy,Said no to something you would have previously said yes to,Achievement
Gratitude Letter to Your Body,Write a letter thanking your body and list everything it allows you to do that you take for granted,30 min,Easy,Letter written with 10+ things listed,Achievement
The Postponed Screening,Get the health appointment/test/screening you've been putting off,Varies,Medium,"Appointment scheduled, appointment completed",Physical
One Sustainable Health Habit,Establish one health habit you can maintain and track for 30 days,30+ days,Medium,"Habit defined, 30 days tracked",Physical
Time with Declining Health,"Spend meaningful time with someone whose health is declining (aging relative, hospice volunteer, care facility visit)",Varies,Medium,3+ visits or sessions completed,Social
The Postponed Trip,Take the trip you've been putting off,Varies,Medium,Trip taken,Achievement
Try the Curious Thing,"Try one thing you've always been curious about (activity, food, place, experience)",Varies,Easy,"Thing identified, thing tried",Achievement
Reverse Bucket List,Document 20+ meaningful experiences you've already had,1 hour,Easy,List of 20+ experiences written,Achievement
24 Hours Unplanned,Spend 24 hours somewhere unfamiliar without a plan,1 day,Medium,"Location was unfamiliar, no itinerary made, 24 hours completed",Achievement
Your Unique Contribution,"Identify your unique contribution by answering: What would be lost if I never shared my unique perspective or skill?",2-3 hours,Medium,Written answer (1+ paragraph),Achievement
Begin the Legacy Project,"Start the thing you want to leave behind (memoir, oral history, mentorship, creation)",Varies,Hard,"Project defined, first concrete milestone completed",Achievement
Complete a Health Screening,Get a comprehensive physical exam with blood work,2-4 hours,Easy,Receive results documentation,Physical
Double Your Push-up Max,"Train until you can do 2x your current max consecutive push-ups, or reach 20 (whichever is greater)",4-8 weeks,Medium,Video of final set with good form,Physical
Complete All Recommended Dental Work,Get a dental exam and complete all recommended treatments or establish 30-day flossing habit,2-6 months,Medium,"Exam done, treatment complete or 30-day floss streak",Physical
Complete 6 Therapy Sessions,"Attend six sessions with a mental health professional, or complete structured self-guided program",6-12 weeks,Medium,Documentation of 6 completed sessions,Achievement
30 Days Alcohol-Free,Go 30 consecutive days without drinking,30 days,Hard,30-day streak completed,Physical
Sleep 8+ Hours for 14 Nights,Get 8+ hours of actual sleep for two straight weeks,14 days,Medium,Sleep tracking data showing 14 consecutive nights,Physical
Master 10 Healthy Meals,Learn to cook 10 nutritious meals without recipes,4-8 weeks,Medium,Photos of all 10 meals + can cook any on request,Achievement
Complete an Endurance Goal,"Train for and finish a significant endurance challenge (half-marathon, 50-mile bike ride, 5K from zero)",8-16 weeks,Hard,Evidence of completing the event/goal,Physical
Automate Retirement Savings,Open a retirement account and set up automatic contributions,1-3 hours,Easy,Account open + automatic transfer active,Achievement
Build an Emergency Fund,Save enough to cover 1-3 months of essential expenses,3-12 months,Medium,Bank statement showing target balance reached,Achievement
Eliminate Highest-Interest Debt,Pay off your highest-interest debt completely,Variable,Hard,$0 balance confirmation,Achievement
Complete a Salary Negotiation,Negotiate compensation in current role or new offer,2-5 hours,Medium,The negotiation conversation happened,Achievement
Calculate Your True Net Worth,"Document all assets, debts, income, and expenses",2-4 hours,Easy,"Written document with assets, liabilities, net worth, savings rate",Achievement
Hit a Personal Savings Milestone,"Reach a meaningful savings/investment target (save 20% for 6 months, increase savings rate, reach net worth milestone)",6-12 months,Medium,Documentation of milestone reached,Achievement
The Money Talk with Parents,"Direct conversation with parents about their financial situation, estate plans, and wishes",1-3 hours,Medium,Conversation happened + can answer basic questions about their situation,Social
Read 3 Personal Finance Books,Complete three foundational money books,15-25 hours,Easy,All three finished,Achievement
Apply for Your Reach Job,Submit a complete application for a position you feel underqualified for,4-10 hours,Medium,Application submitted,Achievement
Launch a Side Project Publicly,"Create something and release it to the world (product, service, art, content, tool, newsletter)",20-100 hours,Hard,It's live and others can access it,Creative
Earn a Verifiable Credential,Complete a recognized certification or course with proof of completion,40-200 hours,Medium,Certificate or credential you can show,Achievement
Speak Up in Every Meeting for 30 Days,Contribute at least one substantive comment or question in every work meeting,30 days,Medium,30-day tracking log showing participation,Achievement
Pitch an Idea to Leadership,Prepare and deliver a formal proposal to senior leadership,5-20 hours,Medium,The pitch meeting happened,Achievement
Complete an Academic Course,Finish a full course with structured curriculum,40-80 hours,Medium,Course finished with all modules/assignments done,Achievement
Shadow Someone in Another Career,Spend half a day+ observing someone in a field you're curious about,4-8 hours,Easy,Shadow completed + written reflection,Achievement
Reach Conversational Level in New Language,Learn enough to hold a 10-minute conversation with a native speaker,200-400 hours,Hard,Verified conversation with native speaker completed,Achievement
Give a Presentation to 20+ People,"Deliver a talk to a live audience of at least 20 (meetup, workplace, community group)",5-15 hours,Medium,Presentation delivered,Achievement
Write Your Career Story,"Document your career journey, lessons, goals, and 5-10 year plan",4-8 hours,Easy,2000+ word document completed and shared with mentor,Achievement
Weekly Family Calls for 3 Months,Call one family member every week for 12 consecutive weeks,3-6 hours total,Medium,12/12 calls logged,Social
Reconnect with a Lost Friend,Reach out to someone you've lost touch with and have a real conversation,2-4 hours,Easy,"Real conversation (call or in-person), second interaction completed",Social
Write an Appreciation Letter,Write a detailed letter to a parent or mentor about why they matter,2-4 hours,Easy,"500+ words written, delivered",Social
Ask Out Someone Who Intimidates You,Ask someone on a date who you're genuinely interested in but nervous about,Seconds,Medium,The ask happened (outcome irrelevant),Social
Host a Gathering of 10+ People,Plan and execute a social event with at least 10 friends,5-15 hours,Medium,Event happened + group photo,Social
Have the Difficult Conversation,Identify and have a conversation you've been avoiding,1-3 hours,Medium,Conversation happened + written reflection,Social
Interview an Elderly Relative,"Conduct a recorded interview about their life story, wisdom, and family history",2-5 hours,Easy,Recording preserved (audio or video),Social
Take a Trip with a Family Member,"Organize a trip (minimum overnight) with just one parent or sibling (camping, road trip, staycation counts)",8-48 hours,Medium,Trip completed + photo together,Social
Say I Love You to 5 New People,Tell five people you genuinely love that you love them - people you've never said it to before,Variable,Medium,All 5 documented (who and when),Social
End a Relationship That Isn't Working,"End a relationship (romantic, friendship, professional) that you know isn't right",1-5 hours,Hard,Relationship ended with honesty,Social
Solo Travel for One Week,Take a solo trip to somewhere new staying at least 7 days,7+ days,Hard,7+ days completed + photo documentation,Achievement
Cross Off Your #1 Bucket List Item,Identify and complete your single biggest bucket list item,Variable,Hard,Item completed,Achievement
Try Something That Terrifies You,"Take a class or try an activity that genuinely scares you (skydiving, improv, rock climbing)",2-20 hours,Medium,One full session completed,Achievement
Live Somewhere Different for 1+ Month,"Spend at least 30 days living in a different location (house swap, work exchange, extended camping)",30+ days,Hard,30+ days in new location documented,Achievement
Attend a Major Event Alone,"Go to a concert, game, festival, or conference by yourself",3-8 hours,Easy,Full event attended solo,Achievement
Complete a Digital Detox Trip,Take a trip with no phone or internet for minimum 3 days,3+ days,Medium,Trip completed + journal documentation,Achievement
Create a Finished Creative Work,"Learn a creative skill and produce a completed shareable piece (painting, music, writing, woodworking)",20-80 hours,Hard,Finished piece exists and has been shared,Creative
Do Something Out of Character,Identify something you've secretly wanted to do but doesn't fit your image then do it,Variable,Medium,Activity completed,Achievement
Document One Year of Your Life,"Commit to a year-long documentation project (daily journaling, weekly photos, monthly videos)",15-60 min daily,Hard,12 months of documentation preserved,Creative
Write and Share Your Personal Values,"Articulate your core values, beliefs, and how you want to live",3-6 hours,Easy,1000+ word document completed and shared with accountability partner,Achievement
Make Amends for a Past Regret,"Identify something you genuinely regret and make direct amends (apologize, repair damage, restitution)",2-10 hours,Medium,Amends made + documented,Social
Enforce Work Boundaries for 30 Days,Set and maintain a strict work end-time for one month,30 days,Medium,30-day compliance log,Achievement
Spend a Full Day Doing Exactly What You Want,"8+ waking hours with no obligations, no shoulds, no productivity guilt",8-16 hours,Easy,Day completed + documented how you spent it,Achievement
Write a Letter to Your 80-Year-Old Self,"Write to future you about your current life, hopes, fears, and commitments",2-4 hours,Easy,1000+ words written and saved,Achievement
Take the Trial Pledge,Sign up for Giving What We Can's trial pledge (any amount for 6 months),10 min,Easy,Signed up for trial pledge,Achievement
Fund One Child's Malaria Protection,Donate any amount to Malaria Consortium or volunteer 2 hours for fundraising campaign,Varies,Easy,Donation made or volunteer hours completed,Achievement
Send a Direct Cash Transfer,Send any donation to GiveDirectly,15 min,Easy,Donation sent,Achievement
Take the 10% Pledge,Officially sign the Giving What We Can pledge at any income level,30 min,Hard,Pledge signed (lifetime commitment),Achievement
Fund an Overlooked Intervention,Donate any amount to the Lead Exposure Elimination Project,15 min,Easy,Donation made,Achievement
Calculate Your Global Wealth Percentile,Complete the calculator at howrichami.givingwhatwecan.org,5 min,Easy,Screenshot of result,Achievement
Set Up Recurring Donations,Establish automatic monthly donations to any effective charity,15 min,Easy,Recurring donation active,Achievement
Go Car-Free for One Month,Complete 30 consecutive days without driving a personal vehicle,30 days,Hard,30 days completed (emergency/accessibility exceptions allowed),Physical
Go Fully Plant-Based for 30 Days,Complete 30 consecutive days eating no animal products,30 days,Hard,30 consecutive days completed,Physical
Skip One Long-Haul Flight This Year,Decline or cancel one round-trip flight over 4 hours that you would have otherwise taken,Variable,Medium,Document the trip not taken and your alternative,Achievement
Switch to Renewable Electricity,Switch your home to a renewable energy provider/green tariff or install any solar capacity,30 min,Easy,Switch confirmed or solar installed,Achievement
Reduce Meat Consumption by 50%,Track and reduce your meat consumption by 50% compared to personal baseline over 30 days,30 days,Medium,Track meals one week before starting then maintain 50% reduction for 30 days,Physical
Make Monthly Climate Calls,Make phone calls to elected officials about climate legislation for 3 consecutive months,3 months,Medium,Calls made for 3 consecutive months,Achievement
Switch to a Climate-Conscious Bank,Move your primary checking account to a bank that doesn't finance fossil fuel expansion,Variable,Medium,Account moved,Achievement
Reduce Food Waste by 50%,Track and reduce household food waste by 50% vs baseline over 30 days,30 days,Medium,Weigh waste for one week before then maintain reduction for 30 days,Achievement
Join a Climate Advocacy Organization,Become a member and attend/participate in 2+ events or actions,Ongoing,Medium,Member + attended 2+ events,Achievement
Eliminate Chicken and Fish for 30 Days,Complete 30 consecutive days without eating chicken or fish,30 days,Medium,30 days completed,Physical
Donate to ACE-Recommended Charities,Make any donation to Animal Charity Evaluators' Recommended Charity Fund,15 min,Easy,Donation made,Achievement
Support Corporate Welfare Campaigns,Donate any amount to The Humane League or similar corporate campaign organization,15 min,Easy,Donation made,Achievement
Fund Shrimp Welfare,Donate any amount to the Shrimp Welfare Project,15 min,Easy,Donation made,Achievement
Advocate for Plant-Based Defaults at Work,Submit a formal proposal for plant-based default options in your workplace cafeteria/catering,2-4 hours,Medium,Formal proposal submitted,Achievement
Replace Your Top 3 Animal Products,Identify your 3 most-consumed animal products and replace them with plant-based alternatives for 60 consecutive days,60 days,Medium,Document replacements and track for 60 days,Physical
Support Wild Animal Welfare Research,Donate any amount to Wild Animal Initiative,15 min,Easy,Donation made,Achievement
Become a Big Brothers Big Sisters Mentor,"Complete application, training, match process and meet with mentee for 6+ months",6+ months,Hard,"Training complete, 6+ months of meetings with mentee",Social
Volunteer as a High-Dosage Tutor,Complete one full semester tutoring 3+ sessions weekly through an established program,1 semester,Hard,Semester completed with 3+ sessions weekly,Social
Donate Blood Six Times,Complete 6 blood donations within one year (or recruit 6 others if medically ineligible),1 year,Hard,6 donations complete or 6 recruits confirmed,Physical
Register Voters,Volunteer 8+ hours for voter registration through a nonprofit during an election cycle,8+ hours,Medium,8+ hours completed,Achievement
Serve on a Jury,"Respond to jury summons and serve fully (or be dismissed by court, not by own request)",Variable,Medium,Jury service completed,Achievement
Provide Pro Bono Professional Services,Complete 50+ hours of pro bono work in your professional field within one year,50+ hours,Hard,50+ hours documented,Achievement
Join or Start a Mutual Aid Network,Actively participate in a mutual aid network for 3+ months,3+ months,Medium,3+ months of active participation,Social
Volunteer at a Food Bank,Complete 16+ hours of food bank volunteering,16+ hours,Medium,16+ hours completed,Social
Complete QPR Suicide Prevention Training,"Complete Question, Persuade, Refer gatekeeper training",1.5 hours,Easy,Training completed,Achievement
Complete Mental Health First Aid Certification,Receive your MHFA certification,8 hours,Medium,Certification received,Achievement
Become a Crisis Line Volunteer,"Complete training and volunteer for 6+ months at a crisis line (Crisis Text Line, etc.)",6+ months,Hard,Training complete + 6 months of volunteering,Social
Practice Systematic Kindness,"Perform 3 intentional acts of kindness twice weekly for 4 consecutive weeks (24 total acts documented)",4 weeks,Easy,24 acts documented,Social
Start a Gratitude Practice,Complete 30 consecutive days of gratitude journaling (3-5 items daily),30 days,Easy,30 consecutive days documented,Achievement
Volunteer for a Befriending Program,Complete 6+ months of weekly contact with an isolated individual through an official befriending program,6+ months,Hard,6+ months of weekly contact completed,Social
Share Your Mental Health Experience,Have 3 conversations about your own mental health experiences with friends family or colleagues,Variable,Medium,3 conversations documented,Social
Advocate for Workplace Mental Health,Submit a formal proposal for mental health benefits/resources to your employer or HR,2-4 hours,Medium,Formal proposal submitted,Achievement
Make Monthly Constituent Calls,Make phone calls to elected representatives for 6 consecutive months,6 months,Medium,At least 1 call/month for 6 months,Achievement
Build a Relationship with Legislative Staff,Have 3+ substantive interactions with the same staff member over 6 months,6 months,Hard,"3+ interactions (calls, meetings, detailed correspondence)",Social
Support a Backbone Organization,Donate any amount or volunteer 10+ hours for an organization that coordinates collective action,10+ hours,Medium,Donation made or volunteer hours completed,Achievement
Participate in Nonviolent Collective Action,"Participate in 2 organized protests, marches, or collective actions within one year",1 year,Medium,2 actions participated in,Achievement
Complete a Career Impact Assessment,Complete written analysis of current work using ITN framework and compare against 3+ alternative paths,4+ hours,Medium,Written analysis completed,Achievement
Build Career Capital in a Neglected Field,"Complete substantial learning project in high-priority problem area (AI safety, biosecurity, etc.)",3+ months,Hard,"Course, certification, or side project completed",Achievement
Complete a Skills-Based Volunteering Project,"Complete one 5-10 hour consulting project through Catchafire, Common Impact, or similar",5-10 hours,Medium,Project completed,Achievement
Optimize Workplace Giving,Research employer's matching gift program and enroll/make matched donation or confirm no program exists,30 min,Easy,Enrolled in matching or confirmed no program,Achievement
Join a Nonprofit Board,Complete governance training and serve on a nonprofit board or committee for 1+ year,1+ year,Hard,Training complete + 1 year of service,Achievement
Contribute to Social Impact Open Source,"Make 3+ meaningful contributions (code, documentation, issues) to open source projects serving social good",Variable,Medium,3+ meaningful contributions made,Creative
Take the Further Pledge,Formally commit to giving everything above a set living allowance to effective causes,Lifetime,Hard,Pledge signed (lifetime major commitment),Achievement
Walk 50000 Steps in a Weekend,Walk 50000 total steps across Saturday and Sunday,1 weekend,Medium,Screenshot of step tracker showing 50000+ steps in 48 hours,Physical
Take Cold Showers for 30 Days,Replace your regular shower with a cold shower every day for 30 consecutive days,30 days,Medium,30 days without missing (no warm-up period allowed),Physical
Learn to Do the Splits,Achieve a full front or side split through daily stretching,Weeks to months,Hard,Photo showing hips flat on ground in full split,Physical
Climb a Virtual Mountain on Stairs,"Accumulate stair climbing equivalent to a famous landmark's height (Empire State Building: 1576 steps, etc.)",Variable,Medium,Total steps climbed tracked across sessions,Physical
Master a Complex Dance Routine,Learn a full choreographed dance routine and perform it start to finish,Variable,Medium,Video performing complete routine from memory,Physical
Drink Only Water for One Week,Consume nothing but plain water for 7 consecutive days (no coffee soda juice alcohol tea),7 days,Medium,7 full days with zero other beverages,Physical
Write a Short Story in One Night,Write a complete short story from start to finish in a single overnight session,1 night,Medium,"Minimum 1500 words with beginning, middle, end completed between sunset and sunrise",Creative
Create a 24-Hour Time-Lapse Video,Record a continuous 24-hour period and compile into a time-lapse video,24 hours,Medium,Final video showing full day-night cycle from fixed position,Creative
Make a One-Person Short Film,"Write, film, and edit a short film where you handle every role",Variable,Hard,"Minimum 2 minutes, has script, you appear on screen, you edited it",Creative
30-Day Daily Photo Challenge,"Take one intentional creative photo every day for 30 consecutive days",30 days,Medium,Collection of 30 photos each from different day with distinct theme,Creative
Fold 100 Origami Cranes,Fold 100 paper cranes using any paper available,Variable,Medium,Photo of 100 completed cranes together,Creative
One-Week Art Style Sprint,Create one piece of art in a different medium each day for 7 days,7 days,Medium,7 pieces across 7 different mediums,Creative
Record a One-Second-a-Day Video Diary,"Film one second of video every day for 90 days, then compile",90 days,Medium,Final compiled video of 90 seconds showing 90 different days,Creative
Design Your Own Puzzle or Riddle,Create an original puzzle that someone else can solve,Variable,Easy,"Puzzle is solvable (tested), has clear rules",Creative
Create a DIY Escape Room,Design and build a puzzle experience in your home for others to solve,Variable,Medium,"Minimum 3 connected puzzles, at least one person completes it, defined win state",Creative
Compliment 100 Strangers,Give 100 genuine compliments to people you don't know (in-person face-to-face),Variable,Medium,100 compliments delivered to strangers,Social
Rejection Therapy Week,"Deliberately ask for something you expect to be rejected for, once per day for 7 days",7 days,Medium,7 rejection attempts across 7 days documented,Social
Perform at an Open Mic,Perform something original in front of a live audience at an open mic event,Variable,Medium,"Complete performance (comedy, poetry, music, storytelling) at public open mic",Creative
Handwrite 10 Gratitude Letters,Write and send 10 handwritten letters to people who have positively impacted your life,Variable,Medium,"10 separate handwritten letters, actually delivered",Social
Daily Kindness for a Month,Perform one intentional act of kindness every day for 30 days,30 days,Easy,30 documented acts across 30 consecutive days,Social
24-Hour Silence,Do not speak for a full 24 hours,24 hours,Medium,24 consecutive hours with zero spoken words,Achievement
No-Technology Day,Spend 24 hours without any digital technology,24 hours,Medium,"24 hours with no phone, computer, TV, tablet, or gaming devices",Achievement
No-Spend Month,Buy nothing beyond true essentials for 30 days,30 days,Hard,"30 days with only groceries, medicine, bills, transport to work",Achievement
No Complaining for a Week,Go 7 consecutive days without voicing any complaints,7 days,Medium,7 days with zero verbal complaints (restart if you slip),Achievement
One-Week Social Media Detox,Log out of all social media for 7 days,7 days,Medium,7 consecutive days with no social media access,Achievement
Memorize 50 Digits of Pi,Memorize and recite 50 digits of pi from memory,Variable,Medium,Recite 3.14159... through 50 decimal places without reference,Achievement
Learn Basic Sign Language,Learn the ASL alphabet and 20 common phrases,Variable,Easy,Fingerspell full alphabet from memory + sign 20 phrases without reference,Achievement
Learn Morse Code and Send a Message,Memorize Morse code and use it to send a real message,Variable,Medium,"Encode 10+ word sentence, transmit it (tapping, flashlight, sound)",Achievement
Use Your Non-Dominant Hand for a Day,Use only your non-dominant hand for all tasks for one full waking day,1 day,Medium,"All hand-based tasks done with non-dominant hand (eating, writing, opening doors)",Physical
Complete a 1000-Piece Puzzle Solo,Finish a 1000-piece jigsaw puzzle entirely by yourself,Variable,Medium,Photo of completed puzzle (done without help),Achievement
Solve a Rubik's Cube,Solve a Rubik's Cube from a fully scrambled state,Variable,Medium,Complete solve without looking up algorithms during the solve,Achievement
Learn to Juggle Three Balls,Juggle three objects continuously,Variable,Easy,Video of juggling 3 objects for 30+ seconds without dropping,Physical
Master a Magic Trick,Learn one magic trick well enough to fool people,Variable,Easy,Perform trick for at least 3 different people without revealing how,Achievement
Balance a Broom on Your Nose,Balance a broom handle vertically on your nose,Variable,Medium,Video of 60+ seconds of continuous balance,Physical
Build a Five-Story Card House,Construct a house of cards at least 5 levels high,Variable,Medium,Photo of standing card house with 5+ tiers (no tape or adhesive),Achievement
Bake 10 Unique Recipes in 48 Hours,Make 10 different baked goods or cooked dishes in one weekend,48 hours,Medium,"10 distinct recipes, completed within 48 hours, photo documentation",Creative
Walk Every Street in Your Neighborhood,Physically walk down every street within a defined area,Variable,Medium,"Define boundary before starting, track on map, every street walked",Physical
Spend a Day Blindfolded,Experience a full waking day without sight,1 day,Hard,Wear blindfold from waking until bedtime (have someone nearby for safety),Achievement
Camp in Your Backyard,Sleep outside overnight at your own home,1 night,Easy,Full night sleeping outdoors (balcony or rooftop counts),Achievement
See Sunrise and Sunset in One Day,Intentionally watch both the sunrise and sunset on the same day,1 day,Easy,Present and watching during both events on same calendar day,Achievement
Make a Personal Time Capsule,Create a sealed collection of current items and notes for your future self,Variable,Easy,"Container sealed with do not open until date (minimum 5 years), stored safely",Achievement
Sock-Stacking Speed Record Attempt,Put as many socks on one foot as possible in 30 seconds,30 seconds,Easy,Video with visible timer and final count,Absurd
Most Clothespins on Your Face,Clip as many clothespins to your face as possible in 60 seconds,60 seconds,Easy,Video of attempt with final count,Absurd
Blindfolded Candy Chopstick Challenge,"Blindfolded, pick up and eat small candies using only chopsticks in 60 seconds",60 seconds,Easy,Video documenting attempt with final count,Absurd
One-Handed Toilet Paper Unroll,Completely unroll a full toilet paper roll using only one hand,Variable,Easy,Timed video showing full unroll with one hand,Absurd
Balance Spoons on Your Face,Balance as many spoons as possible on your face simultaneously,Variable,Easy,Photo showing all spoons balanced at once (no adhesive),Absurd
Blow a Giant Bubblegum Bubble,Blow the largest bubblegum bubble you can,Variable,Easy,Photo or video of largest bubble with something for scale,Absurd
Eat Beans with a Toothpick,Eat as many baked beans as possible in 60 seconds using only a toothpick,60 seconds,Easy,Video of attempt with final count (one bean at a time speared),Absurd
Declutter 100 Items,"Remove 100 items from your home (donated, recycled, or discarded)",Variable,Easy,"100 items removed, duplicates count individually",Achievement
Build Something Useful from Scrap,Create a functional object using only materials you already have or can get for free,Variable,Medium,"Object serves real purpose, made from repurposed materials, photo in use",Creative
Spontaneous Road Trip,Take an unplanned trip to somewhere you've never been,Variable,Easy,Return home with photo from destination,Achievement
Sunrise Summit,"Reach any elevated viewpoint (hill, rooftop, overlook) before sunrise",Early morning,Easy,Witness the sunrise from your chosen spot,Achievement
Sleep Under the Stars,Spend a night sleeping outdoors where you can see the sky,1 night,Easy,Slept outside overnight (backyard counts),Achievement
Adrenaline First,"Do something that genuinely scares you physically (zip-line, cliff jump, roller coaster, cold plunge)",Variable,Medium,Done the activity once (scale to personal fear threshold),Physical
Wild Water Entry,"Fully submerge yourself in a natural body of water (lake, river, ocean, waterfall)",Variable,Easy,Gone completely underwater at least once,Physical
Bucket List Location,Visit a place you've always wanted to see in person,Variable,Medium,Physically there with photo proof,Achievement
Hometown Tourist,Spend a full day exploring your own area as if you were a visitor,1 day,Easy,Visited at least 3 spots you'd never been to before,Achievement
Solo Navigation,Travel somewhere unfamiliar alone and navigate without GPS for at least part of it,Variable,Medium,"Solo trip completed using maps, signs, or asking locals",Achievement
Multi-Day Journey,"Complete a physical journey lasting 2+ days (hiking, biking, walking between towns)",2+ days,Hard,Traveled under your own power for at least 2 consecutive days,Physical
Festival Immersion,Attend a cultural celebration or community event outside your usual circle,Variable,Easy,Participated (not just observed) in at least one activity,Social
Write and Share Original Work,Write something personal and share it with at least one person,Variable,Easy,Someone else has read your writing,Creative
Create and Display Art,Make a piece of visual art and put it somewhere others can see it,Variable,Easy,"Creation displayed (wall, online, gifted)",Creative
Learn One Song,Learn to play or sing one complete song,Variable,Medium,Can perform it start to finish for at least one person,Creative
Cook Something New,Prepare a dish from a cuisine you've never cooked before,Variable,Easy,Eaten the finished dish,Creative
