Excellent,Dupes: #72 Give Blood or Register,Donate Blood Six Times,Complete 6 blood donations within one year (or recruit 6 others if medically ineligible),1 year,Hard,6 donations complete or 6 recruits confirmed,Physical,,
Excellent,Dupes: #378 Cold Shower for 7 Days,Take Cold Showers for 30 Days,Replace your regular shower with a cold shower every day for 30 consecutive days,30 days,Medium,30 days without missing (no warm-up period allowed),Physical,,
Excellent,,Learn to Do the Splits,Achieve a full front or side split through daily stretching,Weeks to months,Hard,Photo showing hips flat on ground in full split,Physical,,
Excellent,,Make a One-Person Short Film,"Write, film, and edit a short film where you handle every role",Variable,Hard,"Minimum 2 minutes, has script, you appear on screen, you edited it",Creative,,
Excellent,,Fold 100 Origami Cranes,Fold 100 paper cranes using any paper available,Variable,Medium,Photo of 100 completed cranes together,Creative,,
Excellent,,Compliment 100 Strangers,Give 100 genuine compliments to people you don't know (in-person face-to-face),Variable,Medium,100 compliments delivered to strangers,Social,,
Excellent,,Memorize 50 Digits of Pi,Memorize and recite 50 digits of pi from memory,Variable,Medium,Recite 3.14159... through 50 decimal places without reference,Achievement,,
Excellent,,Learn Basic Sign Language,Learn the ASL alphabet and 20 common phrases,Variable,Easy,Fingerspell full alphabet from memory + sign 20 phrases without reference,Achievement,,
Excellent,Dupes: #502 Become Conversational in Morse Code,Learn Morse Code and Send a Message,Memorize Morse code and use it to send a real message,Variable,Medium,"Encode 10+ word sentence, transmit it (tapping, flashlight, sound)",Achievement,,
Excellent,Dupes: #451 Spend a Day Using Your Non-Dominant Hand,Use Your Non-Dominant Hand for a Day,Use only your non-dominant hand for all tasks for one full waking day,1 day,Medium,"All hand-based tasks done with non-dominant hand (eating, writing, opening doors)",Physical,,
Excellent,,Solve a Rubik's Cube,Solve a Rubik's Cube from a fully scrambled state,Variable,Medium,Complete solve without looking up algorithms during the solve,Achievement,,
Excellent,,Walk Every Street in Your Neighborhood,Physically walk down every street within a defined area,Variable,Medium,"Define boundary before starting, track on map, every street walked",Physical,,
Excellent,,Spend a Day Blindfolded,Experience a full waking day without sight,1 day,Hard,Wear blindfold from waking until bedtime (have someone nearby for safety),Achievement,,
Excellent,,Most Clothespins on Your Face,Clip as many clothespins to your face as possible in 60 seconds,60 seconds,Easy,Video of attempt with final count,Absurd,,
Excellent,,The Authentic Day,"Describe your perfect day given no outside obligations, then do it.",1 day,Medium,"Day completed, logged what you did.",Achievement,,
Excellent,Dupes: #206 Write and Share Your Personal Values,Values Audit,"Write your top 10 values, make one small ongoing life change to better align with your values. https://qualitycharters.org/wp-content/uploads/2016/10/Hiring-For-Fit_Values-List.pdf",2 hours,Easy,"10 values written, change executed",Achievement,,
Excellent,Dupes: #201 Reconnect with a Lost Friend,The Reconnection,Message three friends you haven't contacted in 1+ year with personalized messages referencing specific memories,30 min,Easy,3 personalized messages sent (not generic),Social,,
Excellent,,The Protected Call,Schedule a recurring monthly call with someone important and complete 3 consecutive months,3 months,Medium,3 consecutive monthly calls completed,Social,,
Excellent,,Letter to the Living,Write a letter to a living person expressing everything you'd want them to know if they were dying and deliver it,1-2 hours,Medium+,"1+ page letter written, delivered by mail or read aloud",Social,,
Excellent,,The Collision Dinner,Host a meal introducing friends from different parts of your life who don't know each other,3-5 hours,Medium,"3+ guests from 2+ different worlds, meal completed",Social,,
Excellent,,Specific Appreciation,Tell 5 people what you specifically appreciate about them including a specific moment and how it affected you,1 week,Easy,"5 people told, each included specific moment + impact",Social,,
Excellent,,Family Recording,Record an interview with a parent or elder about their life story,2-3 hours,Medium,"10+ questions prepared, 20+ min recording completed, saved in 2 locations",Social,,
Excellent,,Use Your Time Off,Take your full vacation/PTO this year or 10+ days if self-employed,Year-long,Easy,"All PTO scheduled, all PTO taken",Achievement,,
Excellent,Dupes: #123 Earn a Verifiable Credential; #267 Complete an Academic Course,Enroll in One Course,Enroll in and complete a course on something you've always wanted to learn,Varies,Medium,"Enrolled, completed with certificate or final project",Achievement,,
Excellent,,12 Books Outside Your Lane,Read 12 books this year in subjects outside your normal interests,1 year,Medium,12 books completed outside typical reading,Achievement,,
Excellent,,Find a Mentor,Approach someone whose path you admire and ask for mentorship,Varies,Medium+,"Person identified, ask made, at least 3 meetings happened",Social,,
Excellent,Dupes: #264 Apply for Your Reach Job,Apply Anyway,"Apply for an opportunity you think you're not ready for (job, grant, program)",2-3 hours,Easy+,Application submitted (rejection doesn't matter),Achievement,,
Excellent,Dupes: #234 The Repair,The Old Apology,Apologize for something you did years ago with a genuine apology that asks nothing in return,30 min,Medium,"Apology delivered, asked for nothing in return",Social,,
Excellent,,Say I Love You,Tell a family member I love you if you rarely do,5 min,Easy,Said it explicitly,Social,,
Excellent,,Time with Declining Health,"Spend meaningful time with someone whose health is declining (aging relative, hospice volunteer, care facility visit)",Varies,Medium,3+ visits or sessions completed,Social,,
Excellent,,30 Days Alcohol-Free,Go 30 consecutive days without drinking,30 days,Hard,30-day streak completed,Physical,,
Excellent,,Sleep 8+ Hours for 14 Nights,Get 8+ hours of actual sleep for two straight weeks,14 days,Medium,Sleep tracking data showing 14 consecutive nights,Physical,,
Excellent,,Master 10 New Meals,Learn to cook 10 nutritious meals without recipes,4-8 weeks,Medium,Photos of all 10 meals + can cook any on request,Achievement,,
Excellent,,Automate Retirement Savings,Open a retirement account and set up automatic contributions,1-3 hours,Easy,Account open + automatic transfer active,Achievement,,
Excellent,,Build an Emergency Fund,Save enough to cover 1-3 months of essential expenses,3-12 months,Medium,Bank statement showing target balance reached,Achievement,,
Excellent,,Complete a Salary Negotiation,Negotiate for more compensation in current role or new offer,2-5 hours,Medium,The negotiation conversation happened,Achievement,,
Excellent,,The Money Talk with Parents,"Direct conversation with parents about their financial situation, estate plans, and wishes",1-3 hours,Medium,Conversation happened + can answer basic questions about their situation,Social,,
Duplicate,Dupe of: #109 Enroll in One Course,Earn a Verifiable Credential,Complete a recognized certification or course with proof of completion,40-200 hours,Hard,Certificate or credential you can show,Achievement,,
Excellent,,Pitch an Idea to Leadership,Prepare and deliver a formal proposal to senior leadership,5-20 hours,Medium,The pitch meeting happened,Achievement,,
Excellent,Consider bumping to 48 hours to make it harder. Dupes: #280 No Phone or Internet for a Week; #302 No-Technology Day; #427 Screen-Free Weekend,Digital Detox Day,Spend 24 hours without phones computers or internet,24 hours,Medium,Full 24 hours passed,Achievement,,
Excellent,,Don't Speak for 48 Hours,"Go 48 consecutive hours without speaking a single word, otherwise going about your normal routine",48 hours,Hard,48 hours completed with zero spoken words,Achievement,,
Excellent,,12-Hour Meditation in Your Room,Complete 12 hours of meditation in a single day without leaving your room,12 hours,Hard,12 hours completed,Achievement,,
Excellent,,Meet a Family Member You've Never Spoken To,Reach out to and have a meaningful conversation with a family member you've never actually talked to before,Variable,Hard,"Contact made, real conversation happened",Social,,
Excellent,,Start a Business and Make $100 Profit,Create a new business venture and generate at least $100 in actual revenue,Variable,Hard,$100 revenue documented (revenue minus all costs),Achievement,,
Excellent,,Write a Song,"Compose an original song with lyrics and melody (instrument optional, can be a cappella)",Variable,Medium,Complete song exists that you can perform start to finish,Creative,,
Excellent,,Wear Shoes on Wrong Feet for Entire Day,Wear your left shoe on your right foot and vice versa for an entire waking day,1 day,Easy,Full day completed without switching them back,Absurd,,
Excellent,,Meet Someone with Fake Identity,"Meet a stranger and maintain a completely fake identity and backstory for at least 10 minutes (bonus for accent, longer duration)",10+ min,Medium,"Conversation lasted 10+ min, they believed your fake identity",Absurd,,
Excellent,,Get Autograph from Famous Person,Obtain an autograph from someone famous enough to have a Wikipedia page,Variable,Hard,Autograph obtained from person with Wikipedia page,Achievement,,
Excellent,,Attempt a Guinness World Record,Make an official or documented attempt at any Guinness World Record,Variable,Hard,Good faith attempt documented (bonus points for actually achieving it),Achievement,,
Excellent,,Get Best Free Item from Classifieds,Find and claim the best free item you can from Craigslist/Facebook Marketplace/local classifieds,Variable,Easy,Free item obtained and photographed. Best item chosen by group vote.,Achievement,,
Excellent,Dupes: #259 Complete an Endurance Goal,Run a Marathon,Train for and complete a full 26.2 mile marathon,3-6 months training,Hard,Finish time documented,Physical,,
Excellent,,Gain or Lose 10 Pounds,Reach a weight goal of gaining or losing 10 pounds (whichever aligns with your health goals),2-3 months,Medium,Before and after weight documented,Physical,,
Excellent,,Bike 100 Miles in One Day,Complete a 100-mile bike ride in a single day,1 day,Hard,Route tracked showing 100+ miles,Physical,,
Excellent,,Learn to Handstand,Learn to hold a freestanding handstand,1-3 months,Hard,Video of handstand held for 10+ seconds without wall support,Physical,,
Excellent,,Don't Shower for 5 Days,Go 5 consecutive days without showering or bathing,5 days,Medium,5 days completed,Absurd,,
Excellent,,Do a kickflip,Learn to ride a skateboard and perform a kickflip,1-2 months,Medium,Video of doing a kickflip,Physical,,
Excellent,,Bake Bread from Scratch,Make a loaf of bread completely from scratch (no bread machine),3-4 hours,Easy,Edible loaf produced with photo,Creative,,
Excellent,,Draw a Self-Portrait,Create a self-portrait drawing or painting,2-4 hours,Easy,Completed self-portrait,Creative,,
Excellent,,Paint Something and Display It,Create a painting and display it proudly somewhere in your home,Variable,Easy,Painting created and hung/displayed,Creative,,
Excellent,,Take a Themed Photography Series,Take a series of at least 10 photos around a specific theme,Variable,Easy,10+ photos with cohesive theme,Creative,,
Excellent,Should note how to do this legally,Make Wholesome Graffiti,Create positive/uplifting street art or chalk art in a public space,1-2 hours,Easy,Photo of your wholesome public art,Creative,,
Excellent,,Write a Poem,Write an original poem of at least 12 lines,1-2 hours,Easy,Poem written and shared with at least one person,Creative,,
Excellent,,Write a Joke,Write an original joke and tell it to at least 5 people,Variable,Easy,Joke written and delivered to 5+ people. Someone has to laugh.,Creative,,
Excellent,,Learn 3 Magic Tricks,Learn three different magic tricks well enough to perform them,2-4 weeks,Easy,Perform all 3 tricks for someone without them figuring them out,Achievement,,
Excellent,,Take a Dance Class,Attend and complete a dance class in any style,1-2 hours,Easy,Class completed,Physical,,
Excellent,,Have Conversation with Oldest Living Relative,Have a meaningful conversation with your oldest living relative about their life,1-2 hours,Easy,Conversation happened and you learned something new about them,Social,,
Excellent,,Take Your Boss to Lunch,Invite your boss to lunch and pay for it,1-2 hours,Medium,Lunch happened and you paid,Social,,
Excellent,,Ask Acquaintance for $100,Ask someone you know casually (not close friend/family) if you can have $100,5 min,Hard,The ask happened (outcome doesn't matter),Social,,
Excellent,,Ask Someone for Clothing Item They're Wearing,Notice something someone is wearing that you like and ask them to give it to you,5 min,Hard,The ask happened (getting it is bonus),Absurd,,
Excellent,,Organize a Group Hike,Plan and lead a hike with 4+ people,4-6 hours,Easy,Hike completed with 4+ participants,Social,,
Excellent,,Go to a Protest or Rally,Attend a protest or rally for a political cause you care about,2-4 hours,Easy,Attended and participated,Achievement,,
Excellent,,Speak in Accent for Entire Day,Maintain a fake accent for an entire day in all interactions,1 day,Medium,Full day completed without breaking character,Absurd,,
Excellent,,Wear Costume in Public on Non-Halloween Day,Wear a full costume in public on a regular day (not Halloween or costume event),1 day,Medium,Wore costume for significant public outing,Absurd,,
Excellent,,Collect Hair from 10 People,Collect a piece of hair from 10 different people (with their knowledge),Variable,Medium,10 hair samples collected with consent,Absurd,,
Excellent,,Buy Food from One Restaurant Eat in Another,Purchase food from one restaurant and eat it inside a different restaurant,1-2 hours,Medium,Completed without getting kicked out,Absurd,,
Excellent,,Visit 10 Coffee Shops in Your City,Visit and order from 10 different coffee shops in your city,Variable,Easy,10 shops visited with photos/receipts,Achievement,,
Excellent,,Get Photo from Highest and Lowest Points in City,"Take photos at both the highest and lowest elevation points in your city, including buildings and basements",Variable,Easy,Both photos taken with location proof,Achievement,,
Excellent,,Sneak Into an Event,Get into an event you weren't invited to or don't have a ticket for,Variable,Hard,Successfully attended event you shouldn't have been at,Achievement,,
Excellent,We are not liable,Commit a Very Small Crime,Break an outdated or obscure law that's technically illegal but harmless,Variable,Easy,Document which weird law you broke,Absurd,,
Excellent,,Beat a Video Game You've Never Played,Complete a video game from start to finish that you've never played before,Variable,Easy,Game completed with screenshot of ending,Achievement,,
Excellent,,Get a Wildly Different Hairstyle,Get a dramatically different haircut or style than you normally have,1-2 hours,Easy,Before and after photos,Achievement,,
Excellent,,Get a Tattoo,Get a tattoo (any size),1-2 hours,Hard,Tattoo completed,Achievement,,
Excellent,,Give a tattoo,Give someone a tattoo (any size),1-2 hours,,Tattoo completed,Achievement,,
Excellent,,Buy Only Unfamiliar Groceries,Buy a week's worth of groceries where nothing is something you've ever eaten before,1 week,Medium,Receipt showing unfamiliar items + photos of eating them,Achievement,,
Excellent,,Get Pushed Around in a Wheelbarrow,Get pushed around in a wheelbarrow in public for at least 10 minutes,10+ min,Easy,Photo/video evidence of wheelbarrow ride,Absurd,,
Excellent,,Do a Street Performance,Perform publicly on a street (music/magic/art/dance) until you make money,,Medium,Performance completed with photo/video,Creative,,
Excellent,,See and Document 20 Bird Species,Observe and photograph/document 20 different bird species,Variable,Medium,20 species documented with photos or detailed notes,Achievement,,
Excellent,,Learn to Swim,Learn to swim if you can't already (complete a lap without stopping),Variable,Medium,Swim one full pool length without stopping,Physical,,
Excellent,,Appear in Video from 100k+ Follower Account,"Appear in a YouTube/Instagram/TikTok video from an account with 100k+ followers, or live TV",Variable,Hard,Link to video showing you on major account,Achievement,,
Excellent,,Hitchhike Somewhere,Travel somewhere by hitchhiking with a buddy,Variable,Hard,Reached destination via hitchhiking,Achievement,,
Excellent,,Reach Conversational Level in New Language,Learn enough to hold a 15-minute conversation with a native speaker,200-400 hours,Hard,Verified conversation with native speaker completed,Achievement,,
Excellent but needs work,Dupes: #447 Publicly Speak,Give a Presentation to 20+ People,"Deliver a talk to a live audience of at least 20 (meetup, workplace, community group)",5-15 hours,Medium,Presentation delivered,Achievement,,
Duplicate,Make a career plan. drop the reminiscing. Dupe of: #244 Write Your Eulogy,Write Your Career Story,"Document your career journey, lessons, goals, and 5-10 year plan",4-8 hours,Easy,2000+ word document completed and shared with mentor,Achievement,,
Excellent but needs work,Good but I am unsure,End a Relationship That Isn't Working,"End a relationship (romantic, friendship, professional) that you know isn't right",1-5 hours,Hard,Relationship ended with honesty,Social,,
Excellent but needs work,Probably will include. Almost seems too difficult. ,Live Somewhere Different for 1+ Month,"Spend at least 30 days living in a different location (house swap, work exchange, extended camping)",30+ days,Hard,30+ days in new location documented,Achievement,,
Duplicate,Dupe of: #77 Letter to Future Self,Write a Letter to Your 80-Year-Old Self,"Write to future you about your current life, hopes, fears, and commitments",2-4 hours,Easy,1000+ words written and saved,Achievement,,
Excellent but needs work,,Take the Trial Pledge,Sign up for Giving What We Can's trial pledge (any amount for 6 months),10 min,Easy,Signed up for trial pledge,Achievement,,
Hesitant,,Fund One Child's Malaria Protection,Donate any amount to Malaria Consortium or volunteer 2 hours for fundraising campaign,Varies,Easy,Donation made or volunteer hours completed,Achievement,,
Hesitant,,Send a Direct Cash Transfer,Send any donation to GiveDirectly,15 min,Easy,Donation sent,Achievement,,
Excellent but needs work,,Take the 10% Pledge,Officially sign the Giving What We Can pledge at any income level,30 min,Hard,Pledge signed (lifetime commitment),Achievement,,
Hesitant,,Fund Shrimp Welfare,Donate any amount to the Shrimp Welfare Project,15 min,Easy,Donation made,Achievement,,
