id , created_at                   , title                                               , description                                                                                                                                                                                                                                     , category                            , estimated_time, completion_criteria                                                                                                             , submitted_by   , points, benchmark_elo, is_benchmark, benchmark_points
666, 2026-02-22 02:10:37.105532+00, Learn Morse Code and Send a Message                 , Memorize Morse code and use it to send a real message                                                                                                                                                                                           , Achievement                         , Days          , Encode 10+ word sentence - transmit it (tapping - flashlight - sound)                                                           ,                ,     10,              ,            0, 
667, 2026-02-22 02:10:37.105532+00, Use Your Non-Dominant Hand for a Day                , Use only your non-dominant hand for all tasks for one full waking day                                                                                                                                                                           , Absurd                              , Days          , All hand-based tasks done with non-dominant hand (eating - writing - opening doors)                                             ,                ,      9,              ,            0, 
668, 2026-02-22 02:10:37.105532+00, Solve a Rubik's Cube                                , Solve a Rubik's Cube from a fully scrambled state                                                                                                                                                                                               , Achievement                         , Days          , Complete solve without looking up algorithms during the solve                                                                   ,                ,      7,              ,            0, 
670, 2026-02-22 02:10:37.105532+00, Spend a Day Blindfolded                             , Experience a full waking day without sight                                                                                                                                                                                                      , Absurd & Growth/Self                , Days          , Wear blindfold from waking until bedtime (have someone nearby for safety)                                                       ,                ,     18,              ,            0, 
674, 2026-02-22 02:10:37.105532+00, See Sunrise and Sunset in One Day                   , Intentionally watch both the sunrise and sunset on the same day. Ideally from somewhere with a view.                                                                                                                                            , Growth/Self                         , Days          , Present and watching during both events on same calendar day                                                                    ,                ,      8,              ,            0, 
676, 2026-02-22 02:10:37.105532+00, Learn a Partner Dance Routine                       , Learn and perform a choreographed partner dance (salsa - bachata - swing - etc.) of at least 1 minute                                                                                                                                           , Physical & Social & Achievement     , Days          , Performed routine of 1+ minute with video evidence                                                                              ,                ,     14,              ,            0, 
680, 2026-02-22 02:10:37.105532+00, Volunteer Together for 8 Hours                      , Complete a full day of volunteer work (8+ hours) with a friend at the same organization                                                                                                                                                         , Growth/Self & Social                , Days          , 8+ hours completed at same organization with photo                                                                              ,                ,     10,              ,            0, 
681, 2026-02-22 02:10:37.105532+00, Forage a Meal Together                              , Find and correctly identify wild edible plants/mushrooms with a knowledgeable partner and eat a dish made from them                                                                                                                             , Creative & Growth/Self              , Days          , Dish prepared and eaten from foraged ingredients with photo documentation                                                       ,                ,     12,              ,            0, 
683, 2026-02-22 02:10:37.105532+00, Build and Launch a Model Rocket Together            , Assemble and successfully launch a model rocket with a partner                                                                                                                                                                                  , Creative & Social                   , Days          , Rocket assembled and successfully launched with video                                                                           ,                ,      9,              ,            0, 
689, 2026-02-22 02:10:37.105532+00, Visit Another Player in Their City                  , Travel to visit another Big Year participant in their home city and spend meaningful time together.                                                                                                                                             , Social                              , Days          , Photo together in their city                                                                                                    ,                ,     14,              ,            0, 
696, 2026-02-22 02:10:37.105532+00, Sunrise to Sunset Outdoors                          , Spend an entire day from sunrise to sunset outdoors without going inside for any reason                                                                                                                                                         , Growth/Self & Physical              , Days          , Full day completed outdoors with no indoor visits                                                                               ,                ,     10,              ,            0, 
698, 2026-02-22 02:10:37.105532+00, Go on a Meditation Retreat                          , Attend a meditation or mindfulness retreat of at least 2 days                                                                                                                                                                                   , Growth/Self                         , Days          , Retreat attended for full duration                                                                                              ,                ,     15,              ,            0, 
702, 2026-02-22 02:10:37.105532+00, Take a Long-Distance Train Ride                     , Ride Amtrak or equivalent train to a destination more than 12 hours away                                                                                                                                                                        , Growth/Self                         , Days          , Train ticket and photos from 12+ hour journey                                                                                   ,                ,      9,              ,            0, 
719, 2026-02-22 02:10:37.105532+00, No Spending for a Week                              , Go 7 consecutive days without spending any money at all. Pre-paid bills like rent and utilities are fine.                                                                                                                                       , Growth/Self                         , Days          , 7 consecutive days with zero transactions                                                                                       ,                ,      5,              ,            0, 
720, 2026-02-22 02:10:37.105532+00, Do Stand-Up Comedy at an Open Mic                   , Write and perform an original stand-up comedy set at an open mic night                                                                                                                                                                          , Creative & Social                   , Days          , Performed a set at a real open mic night with video or photo                                                                    ,                ,     18,              ,            0, 
736, 2026-02-22 02:10:37.105532+00, Build a Tire Swing                                  , Build a functional tire swing from scratch and swing on it                                                                                                                                                                                      , Creative                            , Days          , Photo/video of completed tire swing in use                                                                                      ,                ,      6,              ,            0, 
740, 2026-02-22 02:10:37.105532+00, Learn to Surf                                       , Stand up and ride a wave to shore on a surfboard                                                                                                                                                                                                , Physical                            , Days          , Video of standing up and riding a wave                                                                                          ,                ,     10,              ,            0, 
742, 2026-02-22 02:10:37.105532+00, Breathe Fire                                        , Learn fire breathing and successfully perform it (with proper fuel and technique)                                                                                                                                                               , Absurd & Achievement                , Days          , Video of successful fire breathing performance                                                                                  ,                ,     18,              ,            0, 
750, 2026-02-22 02:10:37.105532+00, Build a Giant Slingshot and Launch a Watermelon     , Construct a slingshot large enough to launch a watermelon and successfully fire one                                                                                                                                                             , Creative & Absurd                   , Days          , Video of watermelon launch from completed slingshot                                                                             ,                ,     17,              ,            0, 
752, 2026-02-22 02:10:37.105532+00, Learn Balloon Animals                               , Learn to make at least 5 distinct balloon animal shapes and make them for strangers in public                                                                                                                                                   , Creative & Social                   , Days          , 5 shapes mastered + made for strangers in public with photo/video                                                               ,                ,     14,              ,            0, 
753, 2026-02-22 02:10:37.105532+00, Create a Day of the Dead Altar                      , Build a complete ofrenda honoring someone who has passed with traditional elements                                                                                                                                                              , Creative & Growth/Self              , Days          , Complete altar with traditional elements honoring specific person                                                               ,                ,     14,              ,            0, 
758, 2026-02-22 02:10:37.105532+00, Repaint and Redecorate a Room                       , Fully repaint the walls and redecorate one room in your living space with new paint and rearranged or new decor                                                                                                                                 , Creative                            , Days          , Room fully repainted and redecorated with before/after photos                                                                   ,                ,      7,              ,            0, 
760, 2026-02-22 02:10:37.105532+00, Learn to Pick a Lock                                , Learn to pick a lock using lockpicking tools and successfully open a locked padlock you own                                                                                                                                                     , Achievement                         , Days          , Video of picking a locked padlock                                                                                               ,                ,      9,              ,            0, 
765, 2026-02-22 02:10:37.105532+00, Create Chainsaw Art                                 , Carve a recognizable sculpture from wood or ice using a chainsaw                                                                                                                                                                                , Creative & Physical                 , Days          , Completed sculpture with photo documentation                                                                                    ,                ,     15,              ,            0, 
766, 2026-02-22 02:10:37.105532+00, Build a Backyard Raku Kiln                          , Assemble a functional raku kiln in your backyard and fire at least one piece of pottery in it                                                                                                                                                   , Creative & Achievement              , Days          , Kiln built + at least one piece fired in it                                                                                     ,                ,     13,              ,            0, 
770, 2026-02-22 02:10:37.105532+00, Build a Bat House                                   , Build and install a functional bat house outdoors                                                                                                                                                                                               , Creative                            , Days          , Bat house built and installed outdoors                                                                                          ,                ,      7,              ,            0, 
781, 2026-03-02 19:51:07.018004+00, Summit a Mountain over 14k feet                     , "Reach the summit of any mountain over 14000 feet in elevation.
                                                                                          
                                                                                          https://en.wikipedia.org/wiki/Fourteener"                                                                                                                                                                                                       , Physical & Achievement              , Days          , Picture of you at the summit                                                                                                    ,                ,       ,              ,            0, 
   ,                              , Go Vegetarian for a Week                            , Become vegetarian for a week with no meats                                                                                                                                                                                                      , Growth/Self & Physical              , Days          , Complete 7+ days with no meat consumption documented                                                                            , florencemgormig,       ,              ,             , 
   ,                              , Shadow a Career for a Day                           , Shadow someone for a day in a career field you've never tried before                                                                                                                                                                            , Achievement & Growth/Self           , Days          , Spend a full day shadowing in an unfamiliar career                                                                              , florencemgormig,       ,              ,             , 
   ,                              , Go Backpacking for 2+ Nights                        , Go backpacking in the wilderness for at least 2 nights                                                                                                                                                                                          , Physical & Growth/Self              , Days          , Complete a 2+ night backpacking trip                                                                                            , sherm.the.worm ,       ,              ,             , 
   ,                              , Learn to Do a Cartwheel                             , Learn to do a proper cartwheel                                                                                                                                                                                                                  , Physical                            , Days          , Video of performing a cartwheel                                                                                                 , sherm.the.worm ,       ,              ,             , 
   ,                              , Ride a Freight Train                                , Ride somewhere by sneaking on a freight train                                                                                                                                                                                                   , Absurd                              , Days          , Successfully ride a freight train a significant distance.                                                                       , sherm.the.worm ,       ,              ,             , 
   ,                              , Stealth Camp                                        , Stealth camp in an unauthorized location for at least one night                                                                                                                                                                                 , Absurd                              , Days          , Complete a night of stealth camping                                                                                             , sherm.the.worm ,       ,              ,             , 
   ,                              , Stoplight Conversations                             , Have 10 conversations with people in the car next to you at stoplights                                                                                                                                                                          , Social & Absurd                     , Days          , 10 documented stoplight conversations                                                                                           , gaberoni24     ,       ,              ,             , 
   ,                              , Matchmake Your Friends                              , Set up your single friends on dates (points only if they actually go on a date)                                                                                                                                                                 , Social                              , Days          , At least one friend couple goes on a date                                                                                       , human_42       ,       ,              ,             , 
   ,                              , Letter to Future Children                           , Write a letter of 2000+ words to your future children meant to be opened when they reach the age you are right now                                                                                                                              , Growth/Self & Creative              , Days          , Complete a 2000+ word letter to future children                                                                                 , human_42       ,       ,              ,             , 
   ,                              , Stranger Dinner Party                               , Throw a party or dinner party where everyone is a stranger and aside from you no one knows anyone                                                                                                                                               , Social                              , Days          , Host an event where all guests are strangers to each other                                                                      , human_42       ,       ,              ,             , 
   ,                              , Make a Snow Shelter and Sleep in It                 , Build a snow shelter and sleep in it overnight. Take safety precautions.                                                                                                                                                                        , Physical & Absurd                   , Days          , Spend a full night in a self-built snow shelter                                                                                 , pancakefry     ,       ,              ,             , 
   ,                              , Host a Slumber Party                                , Host a slumber party for your friends where they actually sleep at your house                                                                                                                                                                   , Social                              , Days          , Host a sleepover with friends                                                                                                   , daddyfestivus  ,       ,              ,             , 
   ,                              , 10000 Calories in 24 Hours                          , Consume 10000 calories within 24 hours                                                                                                                                                                                                          , Absurd                              , Days          , Documented 10000+ calorie consumption in one day                                                                                , daddyfestivus  ,       ,              ,             , 
   ,                              , Visit a Wonder of the World                         , Visit one of the 7 wonders of the world                                                                                                                                                                                                         , Achievement & Growth/Self           , Days          , Photo at a wonder of the world                                                                                                  , daddyfestivus  ,       ,              ,             , 
   ,                              , No Texting for a Week                               , Don't text for a whole week; if you need to communicate call them instead                                                                                                                                                                       , Growth/Self                         , Days          , 7 days with no text messages sent                                                                                               , daddyfestivus  ,       ,              ,             , 
   ,                              , Host Night Games in Your Neighborhood               , Host a night games event in your neighborhood for friends                                                                                                                                                                                       , Social                              , Days          , Organize and host a night games event                                                                                           , daddyfestivus  ,       ,              ,             , 
   ,                              , Write an Essay Analyzing a Creative Work            , Write an essay analyzing a poem book or song like a high school English throwback                                                                                                                                                               , Creative & Growth/Self              , Days          , Complete a written literary/creative analysis essay                                                                             , cookie.mobster ,       ,              ,             , 
   ,                              , Parents' Life Story                                 , Ask your parents to write a short story of their lives before you were born                                                                                                                                                                     , Social & Growth/Self                , Days          , Receive a written life story from a parent                                                                                      , jack_wittmayer ,       ,              ,             , 
   ,                              , Solve a Rubik's Cube                                , Learn to solve a Rubik's Cube bonus if solved in under 1 minute                                                                                                                                                                                 , Achievement                         , Days          , Solve a Rubik's Cube on video                                                                                                   , nerdinc        ,       ,              ,             , 
