Good?,Improvement Notes,Title,Description,Estimated Time,Difficulty,Completion Criteria,Category,Social,Idea Credit
,,Go to a Drag Show in Drag,Attend a drag show while dressed in full drag yourself,3-5 hours,Medium,Photo of you in drag at a drag show,Absurd,,carsonr.
,,Give $100 to a Stranger,"Give $100 cash to a kid, stranger, or homeless person with no strings attached",5 min,Easy,$100 given with the moment described or photographed,Social,,sherm.the.worm
,,Publicly Speak,Prepare and deliver a speech or presentation to an audience of 20+ people outside of work,1-2 weeks prep,Medium,Speech delivered to 20+ people with photo or video,Achievement,,carsonr.
,,Have Conversation with Your 1st Grade Teacher,Track down and have a real conversation with your first grade (or other early) teacher,Variable,Medium,Conversation happened and you can describe what you discussed,Social,,gaberoni24
,,Sell Something for Double Its Value,Sell an item for at least twice what you paid for it or twice its current market value,Variable,Medium,Purchase receipt and sale receipt showing 2x+ markup,Achievement,,gaberoni24
,,Start a Club at Work,Start a new club or interest group at your workplace and hold at least 3 meetings,1-2 months,Medium,Club created with 3+ meetings held and attendance shown,Social,Collaborative,gaberoni24
,,Spend a Day Using Your Non-Dominant Hand,Do everything with your non-dominant hand for an entire waking day. Writing eating brushing teeth everything.,1 day,Easy,Full day completed using only non-dominant hand,Absurd,,musicatnip
,,Have Lunch with a Random Person,Invite a complete stranger off the street to have lunch with you and your treat,1-2 hours,Hard,Lunch completed with a stranger who accepted your invitation,Social,,musicatnip
,,Test Drive a Luxury Car,Go to a dealership and test drive a car worth $100000+ (Lamborghini or Porsche or similar),1-2 hours,Easy,Photo of you behind the wheel of the luxury car,Achievement,,gaberoni24
,,Group Blood Donation,Organize and lead a group of at least 4 people to go donate blood together,2-3 hours,Medium,4+ people donated blood together with group photo,Social,Collaborative,nikikees
,,Best Sandcastle,Build the best sandcastle you can. Winner determined by ranked choice vote among all participants who attempt it.,2-4 hours,Easy,Photo of completed sandcastle submitted for group vote,Creative,Competitive,nikikees
,,Dance the Thriller,Organize and perform the Thriller dance with a group of 10+ people in a public place,2-4 weeks,Hard,Video of 10+ people performing Thriller together,Creative,Collaborative,jack_wittmayer
,,Learn to Windmill,Learn the breakdancing windmill move well enough to complete 3 consecutive rotations,1-3 months,Hard,Video of 3+ consecutive windmill rotations,Physical,,jack_wittmayer
,,Let 10 Species Eat from Your Hand,"Feed animals from 10 different species directly from your hand (squirrels, birds, goats, horses, etc.)",Variable,Medium,Photos of 10 different species eating from your hand,Achievement,,nikikees
,,See Inside a Datacenter,Get a tour of or access to a datacenter and see the servers in person,Variable,Medium,Photo of you inside a datacenter,Achievement,,nikikees
,,Sit Under a Tree Until Enlightenment,Sit under a tree and don't get up until you realize something genuinely important about yourself or the world that you didn't know before,Variable,Medium,Written description of your realization and time spent,Achievement,,nikikees
,,Frugal Month and Donate Savings,"Remove as many expenses as you can for a full month (eat out less, cancel subscriptions, bike instead of Uber) and donate all the money you saved",1 month,Medium,Documented savings amount and donation receipt,Achievement,,human_42
,,Put an Ad on a Billboard,Purchase billboard advertising space and put up a message of your choosing,Variable,Medium,Photo of your billboard ad displayed publicly,Creative,,gaberoni24
,,Cancel a Subscription Service,"Cancel a streaming or subscription service you don't really need (Netflix, Prime, etc.) for at least 3 months",5 min,Easy,Cancellation confirmation and 3 months without resubscribing,Achievement,,lewcis
,,Ask Your Lyft Driver if You Can Drive,Ask your rideshare driver if you can take the wheel instead. The ask is the challenge.,5 min,Medium,The ask happened (outcome doesn't matter),Absurd,,gaberoni24
,,Wax Your Armpits,Get your armpits professionally waxed at a salon,30 min,Easy,Photo of freshly waxed armpits at the salon,Absurd,,vikingnips
,,Get Kicked Out of a Casino for Card Counting,Learn basic card counting and get asked to leave a casino for winning too much at blackjack,Variable,Hard,Documentation of being asked to leave a casino,Absurd,,jack_wittmayer
